# IPsum Threat Intelligence Feed
# (https://github.com/stamparm/ipsum)
#
# Last update: Mon, 21 Sep 2026 03:01:54 +0200
#
# IP	number of (black)lists
#
14.103.110.123	6
14.103.117.73	6
14.103.118.153	6
14.103.123.67	6
14.103.126.104	6
14.116.189.74	6
14.206.0.20	6
14.224.213.222	6
14.225.206.187	6
14.225.239.154	6
16.5.0.236	6
16.5.0.239	6
20.14.93.10	6
20.43.35.101	6
20.64.98.130	6
20.65.169.178	6
20.65.202.150	6
20.65.202.176	6
20.65.202.209	6
20.84.154.211	6
20.127.155.58	6
20.163.3.71	6
20.169.85.75	6
20.244.28.141	6
23.185.200.28	6
24.142.170.231	6
27.0.135.6	6
27.110.166.67	6
27.118.20.168	6
27.118.23.21	6
27.155.103.100	6
31.14.254.43	6
31.57.27.21	6
31.58.244.77	6
31.76.57.198	6
31.173.2.182	6
31.220.81.148	6
34.14.122.221	6
34.22.147.170	6
34.34.177.236	6
34.58.124.191	6
34.77.125.222	6
34.142.110.144	6
34.230.221.101	6
34.233.122.45	6
35.203.210.91	6
35.203.211.11	6
35.203.211.58	6
35.203.211.148	6
35.222.117.243	6
35.237.94.18	6
35.244.32.167	6
36.67.227.242	6
36.93.249.106	6
36.94.179.154	6
36.111.40.138	6
36.135.103.30	6
36.255.97.229	6
37.10.113.211	6
37.27.27.184	6
37.32.22.70	6
37.110.113.113	6
37.120.213.13	6
37.187.236.33	6
38.109.11.20	6
38.110.46.252	6
38.224.49.7	6
39.120.34.60	6
39.164.91.67	6
39.170.108.144	6
40.119.28.116	6
40.121.200.75	6
40.124.123.146	6
40.124.123.200	6
41.33.91.226	6
41.93.82.201	6
41.111.227.10	6
41.173.43.34	6
41.207.248.234	6
41.224.62.206	6
41.242.115.84	6
42.1.65.77	6
42.1.65.89	6
42.1.65.123	6
42.51.41.252	6
42.51.49.166	6
42.96.20.16	6
43.110.38.5	6
43.128.3.201	6
43.129.193.109	6
43.133.140.5	6
43.134.49.202	6
43.138.213.171	6
43.153.6.112	6
43.153.230.224	6
43.155.21.198	6
43.155.202.36	6
43.156.71.43	6
43.156.115.178	6
43.159.39.203	6
43.159.134.133	6
43.160.212.102	6
44.203.125.226	6
45.33.14.5	6
45.33.109.8	6
45.43.37.254	6
45.56.79.53	6
45.78.230.231	6
45.79.115.134	6
45.79.172.21	6
45.79.181.104	6
45.79.207.71	6
45.79.207.110	6
45.79.207.111	6
45.79.211.97	6
45.116.35.149	6
45.116.78.92	6
45.116.104.126	6
45.119.212.99	6
45.120.216.232	6
45.121.25.115	6
45.123.110.70	6
45.125.67.31	6
45.138.12.51	6
45.140.42.24	6
45.148.10.28	6
45.148.10.119	6
45.153.34.117	6
45.156.87.153	6
45.156.128.43	6
45.156.128.59	6
45.156.128.61	6
45.156.128.71	6
45.156.128.73	6
45.156.128.74	6
45.156.128.77	6
45.156.128.101	6
45.156.128.106	6
45.156.128.108	6
45.156.128.109	6
45.156.128.111	6
45.156.128.112	6
45.156.128.113	6
45.156.128.116	6
45.156.128.119	6
45.156.128.148	6
45.156.128.159	6
45.156.128.168	6
45.156.128.172	6
45.156.128.176	6
45.156.128.179	6
45.156.129.46	6
45.156.129.48	6
45.156.129.65	6
45.156.129.75	6
45.156.129.76	6
45.156.129.80	6
45.156.129.82	6
45.156.129.85	6
45.156.129.92	6
45.156.129.95	6
45.156.129.96	6
45.156.129.97	6
45.156.129.98	6
45.156.129.105	6
45.156.129.108	6
45.156.129.123	6
45.156.129.152	6
45.156.129.155	6
45.156.129.156	6
45.156.129.157	6
45.156.129.164	6
45.156.129.166	6
45.156.129.168	6
45.156.129.172	6
45.156.129.175	6
45.162.8.14	6
45.169.200.254	6
45.198.224.127	6
45.224.97.244	6
46.8.31.84	6
46.10.201.91	6
46.105.31.171	6
46.151.178.133	6
46.191.141.152	6
47.236.173.77	6
47.237.183.136	6
47.251.13.198	6
49.64.169.153	6
49.72.212.22	6
49.231.192.36	6
49.247.138.161	6
50.6.250.47	6
50.84.211.204	6
50.116.26.161	6
50.235.31.47	6
51.75.27.218	6
51.75.194.10	6
51.75.247.232	6
51.75.253.68	6
51.77.213.203	6
51.81.119.252	6
51.83.33.141	6
51.91.96.79	6
51.195.40.26	6
51.195.141.167	6
51.222.110.246	6
52.91.228.25	6
52.188.225.226	6
54.36.99.29	6
54.37.10.124	6
54.38.190.246	6
54.38.241.200	6
54.87.132.92	6
54.172.145.72	6
57.128.239.181	6
57.129.132.147	6
58.186.20.143	6
58.221.60.25	6
58.222.244.226	6
59.15.58.148	6
59.16.212.232	6
59.126.34.145	6
59.126.224.134	6
59.144.92.154	6
60.199.224.2	6
60.250.246.239	6
61.43.121.132	6
61.72.55.130	6
61.76.38.54	6
61.76.112.4	6
61.146.235.54	6
61.155.106.101	6
61.186.136.36	6
61.220.96.57	6
61.240.156.16	6
61.254.10.138	6
62.10.174.7	6
62.11.129.215	6
62.84.120.152	6
62.133.60.87	6
62.210.205.111	6
64.23.228.145	6
64.62.197.23	6
64.62.197.31	6
64.62.197.34	6
64.62.197.42	6
64.62.197.53	6
64.62.197.57	6
64.62.197.66	6
64.62.197.73	6
64.62.197.79	6
64.62.197.89	6
64.62.197.90	6
64.62.197.99	6
64.62.197.102	6
64.62.197.110	6
64.62.197.115	6
64.62.197.183	6
64.62.197.185	6
64.62.197.189	6
64.62.197.190	6
